,AcX,AcY,AcZ,FSR A,FSR B,Gesture,Position
181,-14060.0,-6848.0,-2560.0,1202.0,0.0,0,1.0
183,-14028.0,-6904.0,-2304.0,1198.0,0.0,0,1.0
185,-14068.0,-6924.0,-2448.0,1206.0,0.0,0,1.0
187,-13996.0,-6964.0,-2504.0,1207.0,0.0,0,1.0
189,-13968.0,-6940.0,-2484.0,1214.0,0.0,0,1.0
191,-13992.0,-6912.0,-2404.0,1203.0,0.0,0,1.0
193,-14040.0,-7040.0,-2548.0,1232.0,0.0,0,1.0
195,-14036.0,-6992.0,-2320.0,1232.0,0.0,0,1.0
197,-14112.0,-7116.0,-2432.0,1209.0,0.0,0,1.0
199,-14124.0,-7104.0,-2432.0,1215.0,0.0,0,1.0
201,-14000.0,-7028.0,-2464.0,1196.0,0.0,0,1.0
203,-14104.0,-6908.0,-2460.0,1242.0,0.0,0,1.0
205,-14088.0,-6944.0,-2428.0,1230.0,0.0,0,1.0
207,-14092.0,-6828.0,-2500.0,1210.0,0.0,0,1.0
209,-13992.0,-6916.0,-2592.0,1205.0,0.0,0,1.0
211,-13916.0,-6792.0,-2592.0,1200.0,0.0,0,1.0
213,-14076.0,-6784.0,-2720.0,1200.0,0.0,0,1.0
215,-14032.0,-6712.0,-2668.0,1202.0,0.0,0,1.0
217,-13984.0,-6604.0,-2620.0,1211.0,0.0,0,1.0
219,-13932.0,-6696.0,-2700.0,1215.0,0.0,0,1.0
221,-13924.0,-6724.0,-2780.0,1203.0,0.0,0,1.0
223,-13940.0,-6644.0,-2712.0,1201.0,0.0,0,1.0
225,-14060.0,-6792.0,-2980.0,1217.0,0.0,0,1.0
227,-14044.0,-6832.0,-2852.0,1200.0,0.0,0,1.0
229,-14072.0,-6844.0,-2852.0,1211.0,0.0,0,1.0
231,-14208.0,-6828.0,-2844.0,1205.0,0.0,0,1.0
233,-14212.0,-6780.0,-2776.0,1230.0,0.0,0,1.0
235,-14060.0,-6996.0,-2732.0,1247.0,0.0,0,1.0
237,-14220.0,-6928.0,-2780.0,1205.0,0.0,0,1.0
239,-14164.0,-6832.0,-2732.0,1213.0,0.0,0,1.0
241,-14148.0,-6884.0,-2744.0,1209.0,0.0,0,1.0
243,-14164.0,-6700.0,-2732.0,1243.0,0.0,0,1.0
245,-14068.0,-6800.0,-2808.0,1183.0,0.0,0,1.0
247,-14032.0,-6756.0,-2660.0,1209.0,0.0,0,1.0
249,-14060.0,-6828.0,-2684.0,1213.0,0.0,0,1.0
251,-13996.0,-6776.0,-2708.0,1218.0,0.0,0,1.0
253,-13896.0,-6860.0,-2772.0,1182.0,0.0,0,1.0
255,-13944.0,-6928.0,-2832.0,1178.0,0.0,0,1.0
257,-13908.0,-6968.0,-2660.0,1211.0,0.0,0,1.0
259,-13936.0,-6932.0,-2684.0,1212.0,0.0,0,1.0
261,-14032.0,-6984.0,-2644.0,1189.0,0.0,0,1.0
263,-13928.0,-6888.0,-2712.0,1249.0,0.0,0,1.0
265,-14128.0,-6856.0,-2768.0,1211.0,0.0,0,1.0
267,-14192.0,-6916.0,-2608.0,1212.0,0.0,0,1.0
269,-13988.0,-6880.0,-2644.0,1210.0,0.0,0,1.0
271,-14016.0,-6868.0,-2704.0,1205.0,0.0,0,1.0
273,-14044.0,-6932.0,-2728.0,1159.0,0.0,0,1.0
275,-14156.0,-6896.0,-2740.0,1217.0,0.0,0,1.0
277,-14092.0,-7000.0,-2684.0,1215.0,0.0,0,1.0
279,-13984.0,-7040.0,-2624.0,1216.0,0.0,0,1.0
281,-14100.0,-7016.0,-2832.0,1216.0,0.0,0,1.0
283,-14044.0,-6940.0,-2604.0,1174.0,0.0,0,1.0
285,-14112.0,-6968.0,-2572.0,1206.0,0.0,0,1.0
287,-14200.0,-6968.0,-2604.0,1211.0,0.0,0,1.0
289,-14088.0,-6836.0,-2664.0,1211.0,0.0,0,1.0
291,-14136.0,-6916.0,-2512.0,1200.0,0.0,0,1.0
293,-14012.0,-6960.0,-2540.0,1263.0,0.0,0,1.0
295,-14092.0,-6808.0,-2520.0,1207.0,0.0,0,1.0
297,-14004.0,-6780.0,-2392.0,1209.0,0.0,0,1.0
299,-14020.0,-6852.0,-2436.0,1202.0,0.0,0,1.0
301,-14068.0,-6912.0,-2752.0,1212.0,0.0,0,1.0
303,-14096.0,-6912.0,-2680.0,1248.0,0.0,0,1.0
305,-14000.0,-6860.0,-2668.0,1212.0,0.0,0,1.0
307,-13984.0,-6980.0,-2828.0,1207.0,0.0,0,1.0
