AcX,AcY,AcZ,FSR A,FSR B
,,,,
2512,-16308,3128,1579,64
,,,,
2568,-16172,3352,1572,96
,,,,
2904,-16052,3444,1570,96
,,,,
2784,-15968,3204,1575,89
,,,,
2692,-16024,2924,1562,95
,,,,
2796,-16200,2872,1587,144
,,,,
2768,-16276,2868,1566,112
,,,,
2804,-16340,2872,1565,112
,,,,
2924,-16368,2916,1567,102
,,,,
2764,-16096,3036,1565,111
,,,,
2852,-16072,3036,1584,96
,,,,
2804,-16028,3308,1579,110
,,,,
3012,-16276,3120,1579,123
,,,,
2944,-16416,3228,1578,114
,,,,
2756,-16204,3112,1583,103
,,,,
2680,-16132,3436,1570,94
,,,,
2468,-16232,3328,1583,111
,,,,
2480,-16292,3336,1581,97
,,,,
2784,-16464,3232,1580,95
,,,,
2680,-16536,3200,1582,94
,,,,
2752,-16816,3072,1600,98
,,,,
2788,-16836,2708,1575,93
,,,,
2860,-16828,2740,1573,99
,,,,
2800,-16824,2704,1570,77
,,,,
2800,-16628,2560,1582,94
,,,,
3008,-16604,2552,1527,98
,,,,
3028,-16500,2640,1563,0
,,,,
2884,-16308,2532,1556,0
,,,,
2684,-16160,2708,1555,85
,,,,
2776,-16308,2620,1552,41
,,,,
2892,-16308,2872,1510,93
,,,,
2916,-16276,2832,1554,80
,,,,
2816,-16260,2532,1555,0
,,,,
2692,-16232,2628,1557,52
,,,,
2656,-16304,2548,1535,71
,,,,
2868,-16384,2616,1584,0
,,,,
3016,-16208,2804,1555,81
,,,,
2884,-16116,2640,1555,67
,,,,
2860,-15876,2528,1558,72
,,,,
2872,-15820,2576,1573,92
,,,,
2948,-15872,2664,1600,96
,,,,
3008,-15992,2824,1555,78
,,,,
2856,-16312,2876,1552,89
,,,,
2892,-16564,2932,1555,78
,,,,
2900,-16556,2816,1575,77
,,,,
2712,-16512,2732,1533,42
,,,,
2640,-16560,2700,1561,70
,,,,
2824,-16604,2832,1554,85
,,,,
2960,-16608,2668,1554,90
,,,,
2836,-16384,2448,1555,65
,,,,
2836,-16332,2504,1517,37
,,,,
2976,-16484,2460,1557,94
,,,,
2892,-16512,2268,1554,90
,,,,
2796,-16640,2328,1557,80
,,,,
2668,-16528,2416,1555,80
,,,,
2748,-16484,2588,1591,113
,,,,
2656,-16452,2448,1559,94
,,,,
2740,-16668,2572,1552,64
,,,,
2628,-16700,2572,1561,93
,,,,
2768,-16716,2608,1553,112
,,,,
2648,-16812,2456,1591,141
,,,,
2524,-16716,2292,1557,90
,,,,
2576,-16700,2316,1557,93
,,,,
2512,-16544,2356,1559,95
,,,,
2592,-16504,2180,1550,80
,,,,
2492,-16572,2232,1517,30
,,,,
2428,-16488,2140,1559,83
,,,,
2676,-16604,2212,1559,71
,,,,
2580,-16460,2108,1555,86
,,,,
2812,-16552,2208,1552,95
,,,,
2800,-16612,2128,1533,58
,,,,
2628,-16500,2224,1555,84
,,,,
2556,-16300,2328,1557,64
,,,,
2624,-16384,2408,1563,80
,,,,
2592,-16444,2292,1548,80
,,,,
2648,-16380,2256,1588,118
,,,,
2592,-16384,2240,1556,80
,,,,
2836,-16328,2268,1559,77
,,,,
2896,-16220,2280,1563,80
,,,,
2604,-16204,2200,1557,80
,,,,
2700,-16256,2228,1568,103
,,,,
2864,-16452,2384,1555,80
,,,,
3004,-16664,2380,1552,66
,,,,
2772,-16792,2332,1559,90
,,,,
2804,-16692,2280,1552,87
,,,,
2608,-16644,2384,1535,62
,,,,
2664,-16636,2264,1553,81
,,,,
2784,-16656,2228,1565,106
,,,,
2832,-16640,2320,1565,101
,,,,
2640,-16676,2224,1565,0
,,,,
2680,-16576,2104,1579,0
,,,,
2708,-16492,2288,1567,0
,,,,
2768,-16508,2308,1563,0
,,,,
2708,-16532,2316,1565,0
,,,,
2872,-16480,2340,1569,0
,,,,
2736,-16396,2324,1555,0
,,,,
2724,-16320,2348,1575,0
,,,,
2740,-16476,2456,1579,0
,,,,
2804,-16460,2408,1582,0
,,,,
2720,-16396,2124,1565,0
,,,,
2644,-16632,2248,1534,0
,,,,
2596,-16604,2280,1581,0
,,,,
2648,-16640,2320,1577,0
,,,,
2580,-16820,2244,1589,0
,,,,
2612,-16736,2464,1586,0
,,,,
2600,-16796,2600,1604,0
,,,,
2604,-16656,2524,1582,0
,,,,
2788,-16472,2616,1579,0
,,,,
2520,-16312,2464,1579,0
,,,,
2604,-16040,2592,1599,0
,,,,
2600,-16056,2568,1610,0
,,,,
2784,-16108,2652,1579,0
,,,,
2900,-16188,2452,1583,0
,,,,
2896,-16176,2320,1584,0
,,,,
2592,-16128,2372,1597,0
,,,,
2508,-15928,2520,1572,0
,,,,
2608,-15968,2612,1584,0
,,,,
2992,-16284,2544,1587,0
,,,,
2840,-16404,2544,1581,0
,,,,
2632,-16512,2628,1580,0
,,,,
2704,-16664,2636,1566,0
,,,,
2664,-16656,2564,1583,0
,,,,
2784,-16788,2572,1583,0
,,,,
2848,-16588,2452,1581,0
,,,,
2796,-16552,2572,1584,0
,,,,
2528,-16244,2760,1603,0
,,,,
2608,-15948,2688,1583,0
,,,,
2716,-16168,2940,1584,0
,,,,
2740,-16304,2752,1587,0
,,,,
2756,-16556,2752,1590,0
,,,,
2672,-16792,2560,1616,0
,,,,
2644,-16580,2428,1584,0
,,,,
2600,-16540,2556,1585,0
,,,,
2836,-16388,2468,1584,0
,,,,
2896,-16372,2616,1582,0
,,,,
2872,-16344,2456,1534,0
,,,,
2564,-16408,2544,1585,0
,,,,
2696,-16440,2412,1587,0
,,,,
2812,-16576,2628,1589,0
,,,,
2860,-16644,2428,1579,0
,,,,
2724,-16616,2500,1535,0
,,,,
2708,-16616,2468,1584,0
,,,,
2796,-16488,2480,1589,0
,,,,
2800,-16312,2760,1588,0
,,,,
2852,-16212,2732,1578,0
,,,,
2708,-16024,2592,1629,0
,,,,
2444,-15916,2492,1594,0
,,,,
2784,-16168,2688,1584,0
,,,,
2996,-16416,2504,1584,0
,,,,
2948,-16536,2340,1609,0
,,,,
2740,-16536,2336,1631,0
,,,,
2680,-16332,2440,1587,0
,,,,
2580,-16180,2432,1587,0
,,,,
2692,-16244,2592,1586,0
,,,,
2772,-16540,2796,1570,0
,,,,
2628,-16612,2752,1553,0
,,,,
2764,-16720,2748,1589,0
,,,,
2808,-16732,2796,1595,0
,,,,
2804,-16780,2884,1594,0
,,,,
2804,-16804,2608,1598,0
,,,,
2660,-16756,2552,1554,0
,,,,
2600,-16640,2408,1595,0
,,,,
2460,-16328,2568,1593,0
,,,,
2396,-16068,2552,1591,0
,,,,
2648,-16044,2620,1598,0
,,,,
2476,-16164,2620,1619,29
,,,,
2576,-16276,2544,1600,0
,,,,
2832,-16500,2672,1590,22
,,,,
2880,-16548,2476,1591,93
,,,,
2772,-16636,2392,1595,113
,,,,
2728,-16564,2440,1630,149
,,,,
2696,-16300,2564,1595,107
,,,,
2728,-16192,3012,1595,0
,,,,
2672,-16036,2980,1594,0
,,,,
2584,-15940,2876,1594,0
,,,,
2640,-16024,2880,1543,0
,,,,
2796,-16252,2828,1585,0
,,,,
2948,-16496,2784,1584,0
,,,,
2896,-16716,2532,1587,0
,,,,
2708,-16616,2684,1571,0
,,,,
2656,-16536,2576,1534,0
,,,,
2696,-16368,2760,1584,0
,,,,
2900,-16432,2764,1587,0
,,,,
2844,-16536,2772,1586,0
,,,,
2728,-16576,3004,1586,0
,,,,
2744,-16520,2752,1633,0
,,,,
2764,-16484,2924,1591,0
,,,,
2708,-16316,2788,1590,0
,,,,
2648,-16544,2824,1600,0
,,,,
2788,-16648,2852,1587,0
,,,,
2960,-16440,2972,1611,0
,,,,
2832,-15936,2828,1590,0
,,,,
2704,-15880,2916,1598,0
,,,,
2428,-15860,2976,1595,0
,,,,
2504,-16196,2692,1598,0
,,,,
2932,-16604,2680,1606,0
,,,,
3008,-16756,2776,1588,0
,,,,
2872,-16476,2584,1585,0
,,,,
2652,-16084,2776,1596,0
,,,,
2764,-15944,2972,1587,0
,,,,
2884,-16184,2892,1600,0
,,,,
2836,-16456,2668,1587,0
,,,,
2744,-16720,2708,1584,0
,,,,
2740,-16756,2612,1589,0
,,,,
2808,-16528,2732,1585,25
,,,,
2704,-16456,2660,1567,4
,,,,
2568,-16416,2660,1591,64
,,,,
2732,-16560,2852,1593,93
,,,,
2664,-16580,2812,1596,113
,,,,
2840,-16520,2920,1592,106
,,,,
2756,-16360,2824,1584,103
,,,,
2644,-16408,2860,1593,133
,,,,
2552,-16324,2824,1594,112
,,,,
2464,-16292,2920,1585,108
,,,,
2564,-16360,2960,1595,77
,,,,
2728,-16484,2864,1590,64
,,,,
2752,-16460,2704,1595,0
,,,,
2712,-16176,2760,1590,0
,,,,
2788,-16044,2952,1597,0
,,,,
2516,-16076,3020,1593,0
,,,,
2536,-16288,2964,1553,0
,,,,
2572,-16532,3160,1594,0
,,,,
2712,-16552,2952,1593,0
,,,,
2484,-16524,3044,1599,0
,,,,
2520,-16180,3104,1585,0
,,,,
2704,-16272,3008,1600,0
,,,,
2744,-16340,2896,1586,0
,,,,
2780,-16472,2868,1584,0
,,,,
2816,-16300,2760,1581,0
,,,,
2876,-16340,2792,1583,0
,,,,
2848,-16180,2932,1606,0
,,,,
2808,-16208,2864,1584,0
,,,,
2688,-16356,2932,1585,0
,,,,
2812,-16452,2940,1589,0
,,,,
2780,-16644,2844,1607,0
,,,,
2804,-16628,2912,1577,0
,,,,
2764,-16456,3048,1603,0
,,,,
2832,-16480,3076,1594,0
,,,,
2612,-16296,2852,1598,0
,,,,
2532,-16236,2916,1625,0
,,,,
2476,-16244,2872,1607,0
,,,,
2716,-16544,2956,1594,0
,,,,
2828,-16652,2900,1596,0
,,,,
2676,-16452,2832,1599,0
,,,,
2688,-16456,2792,1632,0
,,,,
2676,-16368,2828,1598,0
,,,,
2680,-16168,2948,1594,0
,,,,
2660,-16232,2936,1591,0
,,,,
2720,-16384,2940,1595,0
,,,,
2908,-16436,2764,1581,0
,,,,
2772,-16384,3000,1589,0
,,,,
2712,-16532,2984,1596,0
,,,,
2612,-16656,2880,1598,0
,,,,
2700,-16604,2864,1599,0
,,,,
2668,-16520,2900,1562,0
,,,,
2728,-16416,3264,1598,0
,,,,
2652,-16480,3144,1600,0
,,,,
2692,-16448,3192,1600,0
,,,,
2852,-16416,3016,1594,0
,,,,
2752,-16148,3000,1631,0
,,,,
2672,-16240,2848,1594,0
,,,,
2584,-16364,2692,1598,0
,,,,
2720,-16312,2828,1598,0
,,,,
2728,-16308,2916,1610,0
,,,,
2536,-16284,3000,1630,0
,,,,
2644,-16020,3076,1591,0
,,,,
2668,-16048,2932,1597,0
,,,,
2720,-16344,3024,1599,0
,,,,
2784,-16516,2696,1593,0
,,,,
2748,-16440,2808,1552,0
,,,,
2748,-16300,2776,1591,0
,,,,
2708,-16352,2984,1596,0
,,,,
2732,-16192,3084,1598,0
,,,,
2748,-16324,3132,1597,0
,,,,
2716,-16316,2940,1559,0
,,,,
2484,-16204,2900,1591,0
,,,,
2660,-16396,2848,1600,0
,,,,
2640,-16432,3200,1600,0
,,,,
2824,-16508,3132,1596,0
,,,,
2740,-16592,2844,1635,0
,,,,
2476,-16692,2748,1597,0
,,,,
2564,-16484,2988,1597,0
,,,,
2640,-16484,3064,1594,0
,,,,
2940,-16524,3160,1598,0
,,,,
2772,-16396,2864,1637,0
,,,,
2556,-16332,2900,1599,0
,,,,
2456,-16292,2944,1600,0
,,,,
2648,-16408,3076,1596,0
,,,,
2820,-16600,2968,1600,0
,,,,
2624,-16724,2980,1565,0
,,,,
2576,-16452,2756,1598,0
,,,,
2680,-16372,2724,1599,0
,,,,
2440,-16208,2900,1596,0
,,,,
2476,-16024,3000,1599,0
,,,,
2536,-16108,2984,1569,0
,,,,
2760,-16400,3048,1600,0
,,,,
2772,-16512,2844,1597,0
,,,,
2660,-16468,2764,1597,0
,,,,
2564,-16328,2592,1590,0
,,,,
2612,-16280,2592,1630,0
,,,,
2524,-16200,2664,1598,0
,,,,
2444,-16256,2720,1600,0
,,,,
2600,-16336,2680,1588,0
,,,,
2656,-16368,2832,1616,0
,,,,
2544,-16276,2884,1633,0
,,,,
2516,-16208,2912,1595,0
,,,,
2600,-16316,2716,1597,0
,,,,
2572,-16536,2620,1597,0
,,,,
2764,-16564,2660,1610,0
,,,,
2876,-16360,2784,1547,0
,,,,
2736,-16320,2820,1594,0
,,,,
2704,-16500,3016,1597,0
,,,,
2600,-16716,2804,1598,0
,,,,
2568,-16896,2668,1599,0
,,,,
2624,-16760,2700,1569,0
,,,,
2580,-16456,2840,1595,0
,,,,
2404,-16272,3004,1600,0
,,,,
2492,-15900,3152,1593,0
,,,,
2680,-15988,3168,1603,0
,,,,
2680,-16220,2752,1616,0
,,,,
2744,-16660,2748,1597,97
,,,,
2684,-17032,2676,1593,99
,,,,
2572,-17016,2736,1593,102
,,,,
2716,-16716,2748,1595,102
,,,,
2932,-16548,2688,1601,128
,,,,
2700,-16228,2724,1594,109
,,,,
2400,-15920,2792,1593,112
,,,,
2556,-16024,2824,1596,133
,,,,
2724,-16428,2848,1602,133
,,,,
2852,-16532,2800,1610,122
,,,,
2568,-16592,2912,1595,135
,,,,
2584,-16580,2684,1597,135
,,,,
2756,-16556,2740,1600,133
,,,,
2720,-16408,2632,1591,134
,,,,
2540,-16304,2700,1629,160
,,,,
2496,-16312,2824,1594,135
,,,,
2640,-16440,2684,1597,128
,,,,
2624,-16404,2560,1591,130
,,,,
2764,-16404,2560,1609,130
,,,,
2600,-16352,2500,1533,119
,,,,
2648,-16252,2564,1605,135
,,,,
2564,-16192,2740,1599,128
,,,,
2684,-16300,2708,1594,127
,,,,
2552,-16388,2764,1578,130
,,,,
2508,-16292,2644,1553,97
,,,,
2712,-16404,2712,1597,128
,,,,
2728,-16252,2684,1594,127
,,,,
2700,-16324,2792,1600,126
,,,,
2692,-16444,2528,1601,130
,,,,
2740,-16344,2652,1591,117
,,,,
2676,-16524,2680,1600,131
,,,,
2516,-16396,2736,1600,129
,,,,
2728,-16572,2648,1597,127
,,,,
2716,-16496,2764,1599,133
,,,,
2592,-16548,2520,1577,94
,,,,
2428,-16404,2620,1601,131
,,,,
2716,-16372,2588,1597,131
,,,,
2780,-16360,2584,1584,114
,,,,
2692,-16616,2468,1600,135
,,,,
2676,-16596,2588,1627,159
,,,,
2788,-16688,2600,1599,128
,,,,
2932,-16644,2656,1598,133
,,,,
2752,-16556,2484,1591,130
,,,,
2708,-16360,2512,1599,117
,,,,
2592,-16292,2580,1611,140
,,,,
2576,-16284,2688,1596,131
,,,,
2552,-16588,2616,1597,131
,,,,
2872,-16536,2700,1595,142
,,,,
2912,-16704,2480,1598,128
,,,,
2752,-16724,2364,1567,106
,,,,
2736,-16604,2280,1597,128
,,,,
2456,-16288,2348,1598,137
,,,,
2636,-16048,2652,1598,122
,,,,
2756,-16208,2756,1600,133
,,,,
2816,-16368,2776,1555,102
,,,,
2860,-16504,2640,1596,132
,,,,
2656,-16540,2436,1603,141
,,,,
2756,-16380,2356,1599,135
,,,,
2752,-16124,2576,1601,129
,,,,
2684,-16176,2512,1641,157
,,,,
2844,-16252,2708,1619,132
,,,,
2872,-16372,2576,1600,137
,,,,
2896,-16504,2612,1600,136
,,,,
2800,-16528,2596,1584,138
,,,,
2596,-16336,2448,1616,144
,,,,
2568,-16080,2552,1595,128
,,,,
2576,-15928,2580,1600,134
,,,,
2628,-16024,2620,1600,141
,,,,
2828,-16212,2872,1569,131
,,,,
3028,-16456,2580,1627,138
,,,,
2968,-16552,2404,1593,131
,,,,
2772,-16404,2492,1597,134
,,,,
2676,-16424,2400,1596,130
,,,,
2668,-16400,2452,1595,134
,,,,
2792,-16416,2488,1607,170
,,,,
2772,-16452,2672,1598,132
,,,,
2988,-16476,2784,1600,137
,,,,
2864,-16292,2612,1600,129
,,,,
2704,-16232,2696,1600,134
,,,,
2604,-16192,2648,1626,161
,,,,
2636,-16428,2720,1600,127
,,,,
3024,-16660,2584,1599,134
,,,,
3072,-16760,2692,1607,128
,,,,
2848,-16680,2676,1599,125
,,,,
2644,-16432,2796,1622,167
,,,,
2684,-16408,2776,1589,133
,,,,
2676,-16288,2716,1597,134
,,,,
2724,-16444,2820,1598,134
,,,,
2856,-16512,2752,1599,112
,,,,
2668,-16684,2724,1552,121
,,,,
2652,-16644,2660,1597,133
,,,,
2748,-16768,2632,1598,133
,,,,
2764,-16648,2604,1599,119
,,,,
2788,-16488,2628,1610,132
,,,,
2748,-16320,2884,1586,131
,,,,
2732,-16304,2696,1601,131
,,,,
2648,-16264,2836,1599,129
,,,,
2700,-16328,2856,1600,128
,,,,
2740,-16320,2620,1602,137
,,,,
2752,-16376,2700,1634,156
,,,,
2664,-16276,2732,1596,133
,,,,
2744,-16152,2496,1597,133
,,,,
2700,-16140,2744,1597,140
,,,,
2612,-15888,3060,1572,126
,,,,
2712,-15808,2860,1561,91
,,,,
2636,-15864,2664,1595,115
,,,,
2712,-15960,2648,1594,128
,,,,
2812,-16320,2728,1600,124
,,,,
2860,-16640,2656,1562,123
,,,,
2764,-16752,2624,1611,146
,,,,
2624,-16844,2708,1595,128
,,,,
2716,-16712,2592,1593,123
,,,,
2680,-16512,2932,1585,126
,,,,
2612,-16280,2792,1593,128
,,,,
2544,-16092,2960,1637,160
,,,,
2600,-16068,3084,1593,130
,,,,
2700,-16208,2996,1597,133
,,,,
2716,-16512,3008,1605,135
,,,,
2808,-16892,2752,1598,139
,,,,
2772,-16956,2644,1563,87
,,,,
2776,-16892,2804,1591,131
,,,,
2724,-16764,2756,1591,131
,,,,
2704,-16364,2992,1594,134
,,,,
2712,-16320,2760,1593,115
,,,,
2720,-16320,2664,1552,95
,,,,
2676,-16484,2728,1587,132
,,,,
2768,-16568,2784,1592,131
,,,,
2788,-16636,2728,1597,134
,,,,
2688,-16524,2588,1595,112
,,,,
2464,-16412,2500,1590,111
,,,,
2560,-16336,2504,1590,131
,,,,
2572,-16220,2496,1590,131
,,,,
2584,-16112,2836,1595,126
,,,,
2612,-16092,2804,1597,129
,,,,
2908,-16064,2844,1628,161
,,,,
2956,-16228,2516,1595,130
,,,,
2692,-16132,2448,1595,131
,,,,
2520,-16240,2372,1589,132
,,,,
2676,-16276,2536,1602,132
,,,,
2712,-16436,2876,1553,106
,,,,
2668,-16416,2584,1588,130
,,,,
2664,-16312,2804,1590,133
,,,,
2668,-16364,2848,1595,129
,,,,
2620,-16352,2416,1570,132
,,,,
2560,-16336,2688,1577,112
,,,,
2628,-16404,2656,1590,128
,,,,
2612,-16416,2512,1593,131
,,,,
2580,-16464,2560,1591,129
,,,,
2644,-16264,2452,1600,130
,,,,
2436,-16196,2504,1619,159
,,,,
2444,-16232,2424,1590,128
,,,,
2612,-16300,2536,1594,130
,,,,
2672,-16248,2396,1598,129
,,,,
2672,-16236,2368,1595,145
,,,,
2656,-16312,2436,1583,91
,,,,
2524,-16232,2360,1595,133
,,,,
2368,-16204,2412,1594,132
,,,,
2600,-16276,2384,1595,128
,,,,
2772,-16444,2356,1600,144
,,,,
2728,-16416,2388,1591,166
,,,,
2444,-16344,2484,1596,130
,,,,
2376,-16456,2312,1591,130
,,,,
2444,-16600,2292,1591,129
,,,,
2612,-16628,2352,1593,133
,,,,
2512,-16568,2272,1584,127
,,,,
2648,-16468,2640,1595,130
,,,,
2568,-16464,2400,1594,133
,,,,
2524,-16620,2480,1597,129
,,,,
2448,-16620,2300,1591,135
,,,,
2404,-16556,2384,1600,159
,,,,
2556,-16740,2420,1595,129
,,,,
2320,-16740,2200,1599,134
,,,,
2528,-16704,2604,1595,129
,,,,
2556,-16672,2596,1602,135
,,,,
2260,-16548,2436,1569,128
,,,,
2276,-16468,2632,1596,133
,,,,
2456,-16428,2552,1595,130
,,,,
2320,-16524,2340,1590,130
,,,,
2456,-16552,2408,1590,129
,,,,
2360,-16668,2228,1614,163
,,,,
2388,-16556,2272,1590,133
,,,,
2616,-16584,2340,1595,131
,,,,
2412,-16628,2336,1591,133
,,,,
2380,-16412,2164,1591,134
,,,,
2368,-16440,2328,1627,144
,,,,
2516,-16420,2184,1589,129
,,,,
2444,-16516,2128,1589,131
,,,,
2432,-16356,1972,1593,130
,,,,
2320,-16520,2032,1597,138
,,,,
2376,-16496,2116,1571,104
,,,,
2424,-16492,1928,1593,133
,,,,
2312,-16556,2060,1597,131
,,,,
2520,-16580,2112,1596,121
,,,,
2380,-16656,2112,1594,128
,,,,
2372,-16612,2168,1561,161
,,,,
2424,-16764,2136,1586,128
,,,,
2556,-16584,2228,1593,131
,,,,
2440,-16632,2108,1593,133
,,,,
2408,-16532,2220,1587,112
,,,,
2268,-16564,2380,1616,106
,,,,
2224,-16532,2204,1587,134
,,,,
2496,-16680,2364,1600,138
,,,,
2452,-17108,2216,1595,138
,,,,
2628,-17096,1980,1605,144
,,,,
2412,-17092,2208,1626,145
,,,,
2460,-16992,2332,1597,141
,,,,
2468,-16832,2700,1599,140
,,,,
2532,-16700,2364,1593,140
,,,,
2576,-16584,2376,1616,142
,,,,
2372,-16584,2080,1553,129
,,,,
2472,-16716,2112,1594,134
,,,,
2728,-16628,2096,1600,133
,,,,
2608,-16540,1812,1599,131
,,,,
2236,-16324,1964,1600,129
,,,,
2272,-16268,2128,1560,110
,,,,
2440,-16416,2216,1600,128
,,,,
2796,-16344,2064,1597,133
,,,,
2608,-16308,2192,1589,131
,,,,
2516,-16324,2012,1600,128
,,,,
2412,-16316,1904,1639,131
,,,,
2436,-16208,1976,1595,128
,,,,
2416,-16128,2092,1593,130
,,,,
2428,-16176,1944,1600,133
,,,,
2504,-16132,2000,1598,144
,,,,
2260,-16032,1964,1622,90
,,,,
2156,-16040,2096,1596,133
,,,,
2316,-16200,1812,1599,130
,,,,
2380,-16456,1768,1597,130
,,,,
2432,-16488,1624,1602,140
,,,,
2392,-16704,1664,1574,165
,,,,
2388,-16872,1776,1597,130
,,,,
2584,-16976,1832,1599,131
,,,,
2804,-16820,1916,1598,131
,,,,
2668,-16676,1932,1595,130
,,,,
2476,-16572,2264,1584,138
,,,,
2580,-16620,2276,1600,134
,,,,
2712,-16492,2380,1595,133
,,,,
2592,-16476,2284,1596,129
,,,,
2740,-16520,2400,1600,131
,,,,
2824,-16520,2208,1638,149
,,,,
2612,-16376,2128,1594,129
,,,,
2688,-16392,2084,1598,131
,,,,
2604,-16324,2016,1594,131
,,,,
2612,-16428,2036,1601,132
,,,,
2692,-16448,2096,1574,130
,,,,
2644,-16516,1944,1600,131
,,,,
2724,-16352,2056,1598,128
,,,,
2984,-16420,2040,1597,134
,,,,
2936,-16432,2028,1589,135
,,,,
2528,-16436,1936,1584,125
,,,,
2740,-16452,2080,1598,128
,,,,
2892,-16512,1928,1598,144
,,,,
2676,-16572,2036,1599,131
,,,,
2348,-16668,2060,1602,137
,,,,
2516,-16640,2140,1598,139
,,,,
2620,-16568,1956,1597,137
,,,,
2300,-16472,2160,1600,133
,,,,
2328,-16524,2112,1598,133
,,,,
2496,-16416,2380,1591,132
,,,,
2584,-16424,2084,1616,115
,,,,
2408,-16236,2040,1598,133
,,,,
2492,-16224,1996,1589,130
,,,,
2608,-16140,2072,1597,129
,,,,
2612,-16380,2048,1600,143
,,,,
2644,-16588,2060,1589,97
,,,,
2580,-16568,2176,1595,130
,,,,
2600,-16464,2108,1594,131
,,,,
2492,-16392,2116,1600,131
,,,,
2484,-16352,2076,1594,144
,,,,
2464,-16240,2176,1584,147
,,,,
2380,-16432,2108,1600,131
,,,,
2516,-16644,2324,1599,131
,,,,
2648,-16748,2200,1597,130
,,,,
2564,-16596,2012,1601,136
,,,,
2532,-16668,2068,1606,167
,,,,
2448,-16384,2008,1597,130
,,,,
2468,-16212,2176,1600,135
,,,,
2660,-16240,2372,1598,133
,,,,
2760,-16520,2296,1603,130
,,,,
2732,-16648,2180,1571,138
,,,,
2616,-16732,2132,1600,130
,,,,
2576,-16504,2000,1600,128
,,,,
2436,-16428,1916,1598,129
,,,,
2412,-16364,2008,1591,128
,,,,
2600,-16412,2204,1566,123
,,,,
2592,-16284,2076,1601,127
,,,,
2504,-16276,2164,1601,126
,,,,
2484,-16300,2088,1598,121
,,,,
2496,-16332,2028,1577,117
,,,,
2512,-16492,1960,1633,86
,,,,
2480,-16452,1744,1593,102
,,,,
2412,-16388,1572,1599,126
,,,,
2384,-16448,1800,1599,116
,,,,
2440,-16392,1780,1607,112
,,,,
2540,-16436,1904,1586,98
,,,,
2436,-16328,1944,1600,121
,,,,
2496,-16472,1884,1607,130
,,,,
2440,-16396,1776,1593,126
,,,,
2440,-16524,1696,1609,128
,,,,
2392,-16572,1752,1642,89
,,,,
2564,-16636,1844,1600,113
,,,,
2588,-16880,1856,1604,113
,,,,
2580,-16828,1804,1587,111
,,,,
2328,-16952,1564,1602,123
,,,,
2336,-16768,1764,1633,113
,,,,
2448,-16696,1672,1600,112
,,,,
2568,-16680,1892,1603,121
,,,,
2612,-16552,1876,1614,114
,,,,
2416,-16308,1836,1601,126
,,,,
2448,-16304,1676,1581,144
,,,,
2460,-16336,1788,1600,109
,,,,
2392,-16640,1692,1601,107
,,,,
2224,-16624,1688,1614,94
,,,,
2428,-16756,1728,1600,0
,,,,
2532,-16724,1584,1594,0
,,,,
2512,-16668,1760,1600,0
,,,,
2388,-16552,1592,1602,0
,,,,
2408,-16472,1648,1600,0
,,,,
2464,-16372,1444,1601,0
,,,,
2292,-16216,1536,1596,0
,,,,
2328,-16340,1608,1595,0
,,,,
2476,-16572,1548,1597,0
,,,,
2508,-16548,1552,1590,0
,,,,
2304,-16704,1432,1600,0
,,,,
2196,-16608,1344,1571,0
,,,,
2340,-16576,1480,1591,0
,,,,
2428,-16596,1480,1589,0
,,,,
2436,-16492,1532,1584,0
,,,,
2332,-16412,1628,1589,0
,,,,
2496,-16336,1512,1598,0
,,,,
2512,-16240,1544,1584,0
,,,,
2460,-16060,1364,1584,0
,,,,
2332,-16244,1352,1582,0
,,,,
2340,-16240,1136,1552,0
,,,,
2352,-16344,1268,1533,0
,,,,
2428,-16288,1416,1581,0
,,,,
2292,-16348,1364,1582,0
,,,,
2028,-16404,1248,1579,0
,,,,
2256,-16572,1112,1568,0
,,,,
2248,-16536,1132,1610,0
,,,,
2160,-16536,1288,1577,0
,,,,
2068,-16404,1280,1573,0
,,,,
2132,-16364,1412,1565,0
,,,,
2392,-16400,1476,1581,0
,,,,
2268,-16516,1360,1555,0
,,,,
2204,-16484,1304,1581,0
,,,,
2188,-16704,1500,1584,0
,,,,
2088,-16924,1304,1584,0
,,,,
2164,-16892,1212,1584,0
,,,,
2088,-16732,1380,1552,0
,,,,
2116,-16664,1460,1573,0
,,,,
2092,-16708,1532,1584,0
,,,,
2208,-16608,1340,1583,0
,,,,
2216,-16480,1396,1583,0
,,,,
2048,-16496,1336,1552,0
,,,,
2152,-16592,1436,1575,0
,,,,
2168,-16760,1396,1579,0
,,,,
2112,-16828,1364,1579,0
,,,,
2116,-16944,1328,1586,0
,,,,
2304,-17004,1508,1613,0
,,,,
2268,-16968,1368,1579,0
,,,,
1888,-16800,1456,1587,0
,,,,
1900,-16672,1628,1584,0
,,,,
2080,-16604,1432,1593,0
,,,,
2000,-16772,1608,1616,0
,,,,
2264,-16760,1528,1587,0
,,,,
2168,-17004,1396,1584,0
,,,,
1992,-16908,1564,1584,0
,,,,
2176,-16736,1592,1598,0
,,,,
2164,-16856,1324,1547,0
,,,,
2092,-16700,1412,1584,0
,,,,
1928,-16840,1484,1585,0
,,,,
1988,-16792,1508,1584,0
,,,,
2012,-16748,1608,1554,0
,,,,
2044,-16592,1572,1535,0
,,,,
1940,-16612,1592,1584,0
,,,,
1984,-16672,1468,1584,0
,,,,
1928,-16676,1472,1584,0
,,,,
