AcX,AcY,AcZ,FSR A,FSR B
-14088,-6836,-2664,1211,0
,,,,
-14136,-6916,-2512,1200,0
,,,,
-14012,-6960,-2540,1263,0
,,,,
-14092,-6808,-2520,1207,0
,,,,
-14004,-6780,-2392,1209,0
,,,,
-14020,-6852,-2436,1202,0
,,,,
-14068,-6912,-2752,1212,0
,,,,
-14096,-6912,-2680,1248,0
,,,,
-14000,-6860,-2668,1212,0
,,,,
-13984,-6980,-2828,1207,0
,,,,
-14016,-6840,-2696,1214,0
,,,,
-14036,-6952,-2480,1211,0
,,,,
-14040,-6984,-2616,1191,0
,,,,
-13992,-6832,-2648,1210,0
,,,,
-14096,-6848,-2576,1207,0
,,,,
-14068,-6784,-2652,1213,0
,,,,
-14084,-6712,-2684,1211,0
,,,,
-14064,-6764,-2732,1200,0
,,,,
-14056,-6876,-2672,1217,0
,,,,
-14024,-6832,-2564,1210,0
,,,,
-14020,-6892,-2752,1211,0
,,,,
-14092,-6988,-2824,1216,0
,,,,
-14036,-6780,-2552,1195,0
,,,,
-14064,-6772,-2796,1216,0
,,,,
-14120,-6828,-2692,1210,0
,,,,
-14060,-6876,-2740,1214,0
,,,,
-14080,-6876,-2772,1215,0
,,,,
-14044,-6836,-2656,1228,0
,,,,
-14004,-6804,-2592,1213,0
,,,,
-14152,-6760,-2576,1206,0
,,,,
-14140,-6956,-2660,1216,0
,,,,
-14144,-6920,-2608,1212,0
,,,,
-14104,-6968,-2652,1199,0
,,,,
-14052,-6868,-2600,1214,0
,,,,
-14052,-6940,-2640,1209,0
,,,,
-14100,-6856,-2428,1216,0
,,,,
-14064,-6804,-2700,1216,0
,,,,
-14052,-6864,-2724,1174,0
,,,,
-14116,-6960,-2572,1216,0
,,,,
-14044,-6812,-2700,1213,0
,,,,
-13980,-6852,-2560,1229,0
,,,,
-14056,-6892,-2756,1195,0
,,,,
-14112,-6920,-2792,1227,0
,,,,
-14052,-6864,-2608,1214,0
,,,,
-14092,-6920,-2740,1210,0
,,,,
-14012,-6964,-2608,1231,0
,,,,
-13976,-6864,-2552,1226,0
,,,,
-14004,-6844,-2760,1254,0
,,,,
-14044,-6868,-2720,1214,0
,,,,
-13980,-6840,-2564,1215,0
,,,,
-14064,-6952,-2756,1225,0
,,,,
-14004,-6840,-2720,1216,0
,,,,
-14064,-6860,-2852,1232,0
,,,,
-14008,-6824,-2876,1213,0
,,,,
-14144,-6848,-2716,1210,0
,,,,
-13900,-6732,-2772,1213,0
,,,,
-13976,-6728,-2596,1216,0
,,,,
-13964,-6916,-2528,1185,0
,,,,
-14000,-6920,-2644,1216,0
,,,,
-14220,-6856,-2924,1216,0
,,,,
-14144,-6864,-2636,1217,0
,,,,
-14052,-6792,-2652,1219,0
,,,,
-14012,-6760,-2708,1214,0
,,,,
